"unique_item_no","my_rs","res_vec","plots_with_labels","images","size_h","size_w","instructions","masks_with_labels"
"1","0.2","98.47","all_plots/1A.png","1A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask1.png"
"2","0.2","98.47","all_plots/1B.png","1B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask2.png"
"3","0.2","98.47","all_plots/1C.png","1C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask3.png"
"4","0.2","98.47","all_plots/1D.png","1D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask4.png"
"5","0.217954545454545","98.2","all_plots/2A.png","2A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask5.png"
"6","0.217954545454545","98.2","all_plots/2B.png","2B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask6.png"
"7","0.217954545454545","98.2","all_plots/2C.png","2C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask7.png"
"8","0.217954545454545","98.2","all_plots/2D.png","2D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask8.png"
"9","0.235909090909091","97.87","all_plots/3A.png","3A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask9.png"
"10","0.235909090909091","97.87","all_plots/3B.png","3B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask10.png"
"11","0.235909090909091","97.87","all_plots/3C.png","3C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask11.png"
"12","0.235909090909091","97.87","all_plots/3D.png","3D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask12.png"
"13","0.253863636363636","97.45","all_plots/4A.png","4A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask13.png"
"14","0.253863636363636","97.45","all_plots/4B.png","4B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask14.png"
"15","0.253863636363636","97.45","all_plots/4C.png","4C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask15.png"
"16","0.253863636363636","97.45","all_plots/4D.png","4D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask16.png"
"17","0.271818181818182","96.99","all_plots/5A.png","5A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask17.png"
"18","0.271818181818182","96.99","all_plots/5B.png","5B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask18.png"
"19","0.271818181818182","96.99","all_plots/5C.png","5C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask19.png"
"20","0.271818181818182","96.99","all_plots/5D.png","5D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask20.png"
"21","0.289772727272727","96.58","all_plots/6A.png","6A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask21.png"
"22","0.289772727272727","96.58","all_plots/6B.png","6B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask22.png"
"23","0.289772727272727","96.58","all_plots/6C.png","6C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask23.png"
"24","0.289772727272727","96.58","all_plots/6D.png","6D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask24.png"
"25","0.307727272727273","96.03","all_plots/7A.png","7A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask25.png"
"26","0.307727272727273","96.03","all_plots/7B.png","7B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask26.png"
"27","0.307727272727273","96.03","all_plots/7C.png","7C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask27.png"
"28","0.307727272727273","96.03","all_plots/7D.png","7D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask28.png"
"29","0.325681818181818","95.52","all_plots/8A.png","8A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask29.png"
"30","0.325681818181818","95.52","all_plots/8B.png","8B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask30.png"
"31","0.325681818181818","95.52","all_plots/8C.png","8C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask31.png"
"32","0.325681818181818","95.52","all_plots/8D.png","8D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask32.png"
"33","0.343636363636364","94.9","all_plots/9A.png","9A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask33.png"
"34","0.343636363636364","94.9","all_plots/9B.png","9B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask34.png"
"35","0.343636363636364","94.9","all_plots/9C.png","9C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask35.png"
"36","0.343636363636364","94.9","all_plots/9D.png","9D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask36.png"
"37","0.361590909090909","94.23","all_plots/10A.png","10A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask37.png"
"38","0.361590909090909","94.23","all_plots/10B.png","10B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask38.png"
"39","0.361590909090909","94.23","all_plots/10C.png","10C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask39.png"
"40","0.361590909090909","94.23","all_plots/10D.png","10D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask40.png"
"41","0.379545454545455","93.55","all_plots/11A.png","11A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask41.png"
"42","0.379545454545455","93.55","all_plots/11B.png","11B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask42.png"
"43","0.379545454545455","93.55","all_plots/11C.png","11C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask43.png"
"44","0.379545454545455","93.55","all_plots/11D.png","11D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask44.png"
"45","0.3975","92.82","all_plots/12A.png","12A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask45.png"
"46","0.3975","92.82","all_plots/12B.png","12B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask46.png"
"47","0.3975","92.82","all_plots/12C.png","12C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask47.png"
"48","0.3975","92.82","all_plots/12D.png","12D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask48.png"
"49","0.415454545454545","91.98","all_plots/13A.png","13A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask49.png"
"50","0.415454545454545","91.98","all_plots/13B.png","13B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask50.png"
"51","0.415454545454545","91.98","all_plots/13C.png","13C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask51.png"
"52","0.415454545454545","91.98","all_plots/13D.png","13D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask52.png"
"53","0.433409090909091","91.2","all_plots/14A.png","14A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask53.png"
"54","0.433409090909091","91.2","all_plots/14B.png","14B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask54.png"
"55","0.433409090909091","91.2","all_plots/14C.png","14C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask55.png"
"56","0.433409090909091","91.2","all_plots/14D.png","14D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask56.png"
"57","0.451363636363636","90.29","all_plots/15A.png","15A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask57.png"
"58","0.451363636363636","90.29","all_plots/15B.png","15B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask58.png"
"59","0.451363636363636","90.29","all_plots/15C.png","15C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask59.png"
"60","0.451363636363636","90.29","all_plots/15D.png","15D.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask60.png"
"61","0.469318181818182","89.4","all_plots/16A.png","16A.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask61.png"
"62","0.469318181818182","89.4","all_plots/16B.png","16B.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask62.png"
"63","0.469318181818182","89.4","all_plots/16C.png","16C.png","0.86","0.86","Please look at the following plot and use the slider to estimate the correlation.","masks/mask63.png"
